Neighbourhood Number,Neighbourhood Name,Area Sq Km,Latitude,Longitude,Location,Geometry Point
5190,Falconer Heights,0.650282768,53.466721,-113.588524,"(53.46672055034112, -113.5885237020751)",POINT (-113.5885237020751 53.46672055034112)
5454,Rutherford,2.249954931,53.416765,-113.529788,"(53.416764847830855, -113.5297880243958)",POINT (-113.5297880243958 53.416764847830855)
6100,Coronet Industrial,1.60685419,53.493966,-113.478976,"(53.49396620637943, -113.47897563494126)",POINT (-113.47897563494126 53.49396620637943)
5380,River Valley Terwillegar,3.077820679,53.476838,-113.61257,"(53.47683790531988, -113.61256967045574)",POINT (-113.61256967045574 53.47683790531988)
6664,Decoteau North,3.750304079,53.433217,-113.350674,"(53.43321724004238, -113.3506741976723)",POINT (-113.3506741976723 53.43321724004238)
1150,Oliver,1.709665266,53.541983,-113.523994,"(53.541982930616356, -113.52399393488137)",POINT (-113.52399393488137 53.541982930616356)
6410,Maple Ridge,0.689270171,53.50205,-113.363063,"(53.50205016060801, -113.36306273211082)",POINT (-113.36306273211082 53.50205016060801)
6195,South Edmonton Common,1.401998027,53.446694,-113.486079,"(53.446694303569515, -113.48607861165186)",POINT (-113.48607861165186 53.446694303569515)
5330,Queen Alexandra,1.23599332,53.51222,-113.504812,"(53.51221971864601, -113.50481243704536)",POINT (-113.50481243704536 53.51221971864601)
6770,Weinlos,0.916813824,53.459907,-113.413836,"(53.459906787332415, -113.41383602707519)",POINT (-113.41383602707519 53.459906787332415)
5578,Glenridding Heights,0.925825452,53.420767,-113.604156,"(53.420766884437086, -113.6041560191342)",POINT (-113.6041560191342 53.420766884437086)
5468,Graydon Hill,0.658965462,53.421257,-113.559297,"(53.42125726511837, -113.5592969195822)",POINT (-113.5592969195822 53.42125726511837)
5230,Henderson Estates,0.786738814,53.467635,-113.597447,"(53.46763523589928, -113.59744727998496)",POINT (-113.59744727998496 53.46763523589928)
5260,Lansdowne,0.578506248,53.486625,-113.545997,"(53.486625463080586, -113.54599669897877)",POINT (-113.54599669897877 53.486625463080586)
4750,Rosenthal,2.653889622,53.519753,-113.70121,"(53.51975263329648, -113.70120995084932)",POINT (-113.70120995084932 53.51975263329648)
4469,River's Edge,3.026372941,53.45285,-113.644512,"(53.45285008853461, -113.64451163271949)",POINT (-113.64451163271949 53.45285008853461)
6400,Lee Ridge,0.898035537,53.469593,-113.444355,"(53.469592971453245, -113.44435531960228)",POINT (-113.44435531960228 53.469592971453245)
5160,Duggan,1.390160001,53.47151,-113.506058,"(53.47151002842301, -113.50605757700018)",POINT (-113.50605757700018 53.47151002842301)
4720,Glastonbury,1.784945957,53.503187,-113.66987,"(53.50318729764258, -113.66986988345468)",POINT (-113.66986988345468 53.50318729764258)
3382,River Valley Laurier,1.243484002,53.510583,-113.553323,"(53.51058347704698, -113.55332311351657)",POINT (-113.55332311351657 53.51058347704698)
5511,Twin Brooks,2.137355128,53.444689,-113.531497,"(53.444688598308645, -113.53149747692723)",POINT (-113.53149747692723 53.444688598308645)
4190,Hawin Park Estate Industrial,0.678200086,53.574851,-113.596574,"(53.57485072724927, -113.59657383730948)",POINT (-113.59657383730948 53.57485072724927)
4080,Callingwood South,0.772228218,53.500515,-113.623031,"(53.500514879202484, -113.6230308737385)",POINT (-113.6230308737385 53.500514879202484)
4540,Terra Losa,0.761299568,53.533293,-113.622178,"(53.53329320017489, -113.62217806446893)",POINT (-113.62217806446893 53.53329320017489)
4200,High Park,0.719230112,53.554986,-113.584199,"(53.55498578246069, -113.58419925845797)",POINT (-113.58419925845797 53.55498578246069)
6240,Fulton Place,0.978513183,53.546295,-113.427466,"(53.54629463727215, -113.42746647253244)",POINT (-113.42746647253244 53.54629463727215)
3060,Caernarvon,1.228850005,53.6119,-113.526402,"(53.611899751032084, -113.52640171559892)",POINT (-113.52640171559892 53.611899751032084)
6213,Summerside,3.91101986,53.417528,-113.461227,"(53.417527612947964, -113.461227376245)",POINT (-113.461227376245 53.417527612947964)
3180,Dunluce,2.227150455,53.621473,-113.530183,"(53.621472989031105, -113.53018332469873)",POINT (-113.53018332469873 53.621472989031105)
4440,River Valley Lessard North,0.79419017,53.504195,-113.584827,"(53.504195315820766, -113.58482693803155)",POINT (-113.58482693803155 53.504195315820766)
6760,Tweddle Place,1.119256262,53.47837,-113.45916,"(53.47836951495941, -113.45916009559335)",POINT (-113.45916009559335 53.47836951495941)
6340,Kameyosek,0.72159953,53.461919,-113.442068,"(53.46191874301442, -113.44206793427637)",POINT (-113.44206793427637 53.46191874301442)
2290,Glengarry,1.344767417,53.595855,-113.479612,"(53.59585546340982, -113.47961172100503)",POINT (-113.47961172100503 53.59585546340982)
