Neighbourhood Name,"Less than $30,000","$30,000 to less than $60,000","$60,000 to less than $100,000","$100,000 to less than $125,000","$125,000 to less than $150,000","$150,000 to less than $200,000","$200,000 to less than $250,000",Borough,
CRESTWOOD,56,91,90,52,26,58,36,West,
PARKVIEW,51,116,149,93,65,94,60,West,
JAMIESON PLACE,26,71,103,78,64,65,17,West,
RUTHERFORD,130,368,621,334,255,273,99,South West,
CRYSTALLINA NERA EAST,0,0,0,0,0,0,0,North East,
MEYONOHK,47,138,156,62,23,28,8,South East,
WESTVIEW VILLAGE,85,121,114,16,17,5,0,West,
CHAPPELLE AREA,22,101,266,166,104,108,32,South West,
MENISA,235,186,175,80,51,40,13,South East,
MISTATIM INDUSTRIAL,0,0,0,0,0,0,0,North West,
LEWIS FARMS INDUSTRIAL,1,1,2,0,0,0,1,West,
ANTHONY HENDAY ENERGY PARK,0,0,0,0,0,0,0,North East,
WINDERMERE AREA,0,0,0,0,0,0,0,South West,
RIVER VALLEY LAURIER,0,0,0,0,0,0,0,North,
HOMESTEADER,126,242,222,81,45,24,14,North East,
LYNNWOOD,70,159,161,58,45,45,15,West,
BATURYN,33,138,202,101,46,26,7,North,
MCCONACHIE AREA,53,180,325,243,148,145,39,North East,
KENILWORTH,84,226,226,64,43,41,15,South East,
MITCHELL INDUSTRIAL,0,0,0,0,0,0,0,North,
ALLARD,4,48,165,109,48,69,32,South West,
WEST JASPER PLACE,169,309,83,27,22,14,7,West,
CANOSSA,21,92,190,107,91,88,31,North,
RICHFIELD,72,82,100,30,24,12,3,South East,
ARGYLL,18,25,33,17,22,10,3,South East,
CUMBERLAND,40,128,253,201,167,127,39,North West,
EDMONTON NORTHLANDS,0,0,0,0,0,0,0,North,
GARNEAU,1044,523,423,132,78,89,33,South West,
ROSENTHAL,7,31,91,48,24,36,5,West,
MCLEOD,85,155,143,70,42,39,6,North,
MCQUEEN,85,87,83,42,22,26,12,West,
INDUSTRIAL HEIGHTS,0,0,0,0,0,0,0,North,
TWIN BROOKS,73,198,316,201,151,200,91,South West,
FRASER,84,157,190,104,53,49,16,North East,
LARKSPUR,80,253,339,186,94,105,40,South East,
DALY GROVE,76,169,189,99,51,35,10,South East,
BALWIN,321,282,175,53,35,12,8,North East,
ANTHONY HENDAY,0,0,0,0,0,0,0,North,
MCKERNAN,114,106,106,75,92,123,107,Central,
STRATHCONA JUNCTION,0,0,0,0,0,0,0,Central,
HENDERSON ESTATES,14,34,61,48,50,50,34,South West,
LAUREL,27,189,296,139,63,41,14,South East,
POUNDMAKER INDUSTRIAL,0,0,0,0,0,0,0,West,
WINTERBURN INDUSTRIAL AREA EAST,0,0,0,0,0,0,0,West,
CHAMBERY,2,31,73,57,42,54,29,North West,
BLUE QUILL,142,362,218,72,30,40,25,South West,
BLACKBURNE,24,83,87,65,34,55,20,South West,
ROPER INDUSTRIAL,0,0,0,0,0,0,0,South East,
CORONET ADDITION INDUSTRIAL,0,0,0,0,0,0,0,South East,
STARLING,1,94,120,7,5,15,4,North West,
WEINLOS,28,100,102,42,17,26,6,South East,
THE HAMPTONS,67,327,695,491,287,309,126,West,
RIVERVIEW AREA,0,6,17,10,10,7,15,West,
LAURIER HEIGHTS,35,103,113,88,66,88,62,West,
ANTHONY HENDAY HORSE HILL,0,0,0,0,0,0,0,North East,
CALGARY TRAIL NORTH,0,0,0,0,0,0,0,Central,
STEINHAUER,35,81,95,60,38,33,16,South West,
MILL WOODS GOLF COURSE,0,0,0,0,0,0,0,South East,
WEIR INDUSTRIAL,0,0,0,0,0,0,0,North East,
HIGH PARK INDUSTRIAL,0,0,0,0,0,0,0,West,
RIVER VALLEY OLESKIW,0,0,0,0,0,0,0,South West,
DECHENE,7,44,76,47,36,33,23,West,
SHEFFIELD INDUSTRIAL,0,0,0,0,0,0,0,West,
MEADOWS AREA,0,0,0,0,0,0,0,South East,
BANNERMAN,172,239,280,111,43,41,9,North East,
WILSON INDUSTRIAL,0,0,0,0,0,0,0,North West,
ASPEN GARDENS,32,69,100,44,45,63,28,South West,
MAYLIEWAN,43,90,100,98,63,57,34,North East,
BELVEDERE,343,326,239,74,38,20,10,North,
WEST SHEFFIELD INDUSTRIAL,0,0,0,0,0,0,0,West,
SOUTH EDMONTON COMMON,0,0,0,0,0,0,0,South East,
CENTRAL MCDOUGALL,610,435,172,32,17,7,2,Central,
SUDER GREENS,31,137,201,122,80,82,38,West,
PATRICIA HEIGHTS,15,47,65,34,23,36,17,West,
GRANDVIEW HEIGHTS,9,17,20,28,22,24,25,South West,
ANTHONY HENDAY SOUTH,0,0,0,0,0,0,0,South West,
GRIESBACH,39,116,167,72,66,77,48,North West,
WINTERBURN INDUSTRIAL AREA WEST,0,0,0,0,0,0,0,North West,
DONSDALE,6,19,34,18,27,44,21,West,
MAPLE,6,41,77,37,13,22,10,South East,
MCINTYRE INDUSTRIAL,0,0,0,0,0,0,0,South East,
AVONMORE,98,148,109,50,27,36,16,South East,
RHATIGAN RIDGE,22,42,114,62,50,75,54,South West,
YELLOWHEAD CORRIDOR EAST,0,0,0,0,0,0,0,North,
EVERGREEN,60,87,55,26,14,3,2,North East,
BEVERLY HEIGHTS,265,329,130,43,17,18,5,North East,
BELLE RIVE,62,174,203,87,51,62,20,North East,
CROMDALE,168,133,74,21,11,9,11,North East,
PEMBINA,7,15,41,37,7,3,1,North West,
MILL WOODS TOWN CENTRE,180,185,65,17,8,0,0,South East,
ANTHONY HENDAY LAKE DISTRICT,0,0,0,0,0,0,0,North,
HAWIN PARK ESTATE INDUSTRIAL,0,0,0,0,0,0,0,North West,
VIRGINIA PARK,204,26,22,10,5,10,3,North East,
CY BECKER,0,2,17,9,13,5,0,North East,
GLASTONBURY,62,221,404,212,156,134,66,West,
KERNOHAN,57,152,173,78,44,38,9,North East,
BEAUMARIS,114,209,182,72,48,47,20,North West,
DAVIES INDUSTRIAL WEST,0,0,0,0,0,0,0,South East,
KILDARE,138,248,161,40,21,15,3,North East,
SOUTHEAST INDUSTRIAL,0,0,0,0,0,0,0,South East,
SIFTON PARK,40,33,54,12,9,7,2,North East,
WALKER,88,503,547,235,121,115,37,South East,
SHERWOOD,42,96,90,41,32,22,3,West,
RIVER VALLEY WALTERDALE,0,0,0,0,0,0,0,Central,
GOODRIDGE CORNERS,0,0,0,0,0,0,0,Central,
ANTHONY HENDAY SOUTHEAST,0,0,0,0,0,0,0,South East,
DOWNTOWN,972,994,1093,425,199,198,68,Central,
WESTRIDGE,6,10,40,35,23,33,30,West,
WELLINGTON,101,181,197,51,31,23,4,North West,
ROSEDALE INDUSTRIAL,0,0,0,0,0,0,0,Central,
ELLERSLIE,41,148,290,138,71,56,19,SouthEast,
JACKSON HEIGHTS,41,120,158,78,56,41,9,South East,
FULTON PLACE,56,95,111,66,38,47,17,South East,
KINOKAMAU PLAINS AREA,0,9,35,1,0,0,1,North West,
WEBBER GREENS,11,26,71,41,44,42,11,West,
NORTHMOUNT,65,125,129,57,24,25,7,North West,
DUNLUCE,203,317,312,122,69,60,10,North West,
SPRUCE AVENUE,92,98,62,21,14,14,5,Central,
ANTHONY HENDAY TERWILLEGAR,0,0,0,0,0,0,0,South West,
BLACKMUD CREEK RAVINE,0,0,0,0,0,0,0,South West,
WESTBROOK ESTATES,17,31,32,12,11,16,18,South West,
GARSIDE INDUSTRIAL,0,0,0,0,0,0,0,West,
GAGNON ESTATE INDUSTRIAL,0,0,0,0,0,0,0,North West,
DELWOOD,113,194,146,71,35,40,10,North East,
LA PERLE,229,293,282,129,76,64,23,West,
CAMERON HEIGHTS,2,10,22,26,31,36,23,West,
DUGGAN,188,283,283,164,92,74,29,South West,
ELSINORE,17,55,98,40,48,39,10,North West,
DAVIES INDUSTRIAL EAST,0,0,0,0,0,0,0,South East,
GRANVILLE,7,28,77,74,63,58,18,West,
PLACE LARUE,0,0,0,0,0,0,0,West,
MORRIS INDUSTRIAL,0,0,0,0,0,0,0,North East,
RURAL NORTH EAST HORSE HILL,4,4,3,1,1,2,1,North East,
THE ORCHARDS AT ELLERSLIE,6,53,158,89,73,55,23,South East,
ELMWOOD,112,260,228,80,33,22,4,West,
CAERNARVON,82,208,210,75,40,23,7,North West,
ARMSTRONG INDUSTRIAL,0,0,0,0,0,0,0,North West,
CARLISLE,133,270,250,87,59,36,9,North West,
NORWESTER INDUSTRIAL,0,0,0,0,0,0,0,West,
MATT BERRY,32,141,237,168,69,84,25,North East,
EDMONTON RESEARCH AND DEVELOPMENT PARK,0,0,0,0,0,0,0,South East,
RIVER VALLEY CAPITOL HILL,0,0,0,0,0,0,0,Central,
KENSINGTON,119,162,148,51,28,19,7,North West,
BRECKENRIDGE GREENS,25,93,179,92,58,70,23,West,
GARIEPY,14,185,74,33,20,28,16,West,
RIVER VALLEY RUNDLE,0,0,0,0,0,0,0,North East,
UNIVERSITY OF ALBERTA,0,0,0,0,0,0,0,Central,
MAGRATH HEIGHTS,28,54,95,75,68,74,56,South West,
ANTHONY HENDAY CLAREVIEW,0,0,0,0,0,0,0,North East,
ALLENDALE,66,112,123,59,30,33,11,Central,
LANSDOWNE,27,52,66,28,19,37,21,South West,
YOUNGSTOWN INDUSTRIAL,0,0,0,0,0,0,0,West,
CRYSTALLINA NERA WEST,3,35,79,51,38,20,10,North East,
BEARSPAW,56,103,127,72,46,63,25,South West,
LAUDERDALE,88,137,100,40,21,18,3,North West,
HILLVIEW,106,199,211,98,49,42,22,South East,
HODGSON,48,92,155,91,43,86,45,South West,
ANTHONY HENDAY RAMPART,0,0,0,0,0,0,0,North West,
QUESNELL HEIGHTS,0,1,9,2,8,10,5,West,
OGILVIE RIDGE,2,12,20,19,15,16,23,South West,
EBBERS,0,4,4,2,0,1,0,North East,
MORIN INDUSTRIAL,0,0,0,0,0,0,0,West,
RIVER VALLEY MAYFAIR,0,0,0,0,0,0,0,Central,
CAPILANO,40,115,126,84,65,65,28,South East,
GROVENOR,69,127,140,70,57,46,28,North West,
SUMMERLEA,94,194,157,42,36,23,12,West,
OLIVER,1413,1611,1505,537,277,231,91,Central,
STRATHEARN,250,153,96,54,34,36,16,South East,
POTTER GREENS,9,51,73,43,46,53,26,West,
MACTAGGART,26,69,84,46,48,68,34,South West,
CARLETON SQUARE INDUSTRIAL,0,0,0,0,0,0,0,North West,
GORMAN,0,0,0,0,0,0,0,North East,
BERGMAN,39,86,69,39,26,22,11,North East,
TERRA LOSA,158,265,198,62,23,22,7,West,
HAZELDEAN,83,202,203,96,81,60,12,Central,
PARKDALE,253,209,192,48,17,6,3,Central,
GOLD BAR,83,138,213,94,55,43,23,South East,
ALDERGROVE,119,266,284,135,72,49,22,West,
THORNCLIFF,45,96,84,32,27,14,6,West,
TWEDDLE PLACE,43,98,93,40,29,24,4,South East,
KILLARNEY,179,284,216,64,29,11,4,North East,
HOLLICK-KENYON,81,255,384,233,125,145,54,North East,
WINDERMERE,37,144,271,137,151,150,74,South West,
MILL CREEK RAVINE SOUTH,0,0,0,0,0,0,0,Central,
CLAREVIEW TOWN CENTRE,99,161,190,92,31,24,7,North East,
KESWICK AREA,2,13,33,24,31,34,20,South West,
BELGRAVIA,96,74,113,58,59,47,63,Central,
WHITEMUD CREEK RAVINE NORTH,0,0,0,0,0,0,0,South West,
SAKAW,317,244,242,81,38,44,15,South East,
GLENRIDDING AREA,6,20,70,38,21,26,8,South West,
BELMEAD,131,231,201,102,65,52,25,West,
SATOO,73,160,228,100,70,39,13,South East,
HAWKS RIDGE,7,76,27,11,15,14,3,West,
CANORA,120,151,97,32,21,7,3,West,
POLLARD MEADOWS,134,269,202,75,30,21,5,South East,
QUEEN MARY PARK,587,488,294,92,55,43,10,Central,
STEWART GREENS,0,2,11,7,11,7,2,North West,
ALBANY,10,56,63,30,9,14,13,North West,
CASHMAN,0,0,0,0,0,0,0,South,
FALCONER HEIGHTS,39,79,88,53,52,53,29,South West,
EDMONTON MUNICIPAL AIRPORT,0,0,0,0,0,0,0,West,
YELLOWHEAD CORRIDOR WEST,0,0,0,0,0,0,0,West,
GREENFIELD,57,146,214,125,80,78,44,South West,
CLOVER BAR AREA,0,0,0,0,0,0,0,North East,
MCARTHUR INDUSTRIAL,0,0,0,0,0,0,0,North West,
LAMBTON INDUSTRIAL,0,0,0,0,0,0,0,East,
CALDER,239,221,190,70,43,19,7,West,
EDGEMONT,4,31,71,48,32,47,23,South West,
WEST MEADOWLARK PARK,60,116,99,44,25,13,3,West,
RIVER VALLEY HIGHLANDS,0,0,0,0,0,0,0,North East,
ABBOTTSFIELD,206,170,79,23,4,3,3,North East,
